iShares Russell 1000 ETF
Fund Holdings as of,"Sep 11, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"117,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CRM","SALESFORCE","Information Technology","Equity","136,549,209.28","0.28","136,549,209.28","551,224.00","247.72","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM","Information Technology","Equity","133,100,864.68","0.27","133,100,864.68","731,444.00","181.97","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","131,042,328.85","0.27","131,042,328.85","1,229,867.00","106.55","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO","Consumer Staples","Equity","128,948,768.64","0.26","128,948,768.64","945,927.00","136.32","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES","Information Technology","Equity","128,395,056.60","0.26","128,395,056.60","338,970.00","378.78","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","124,528,098.66","0.25","124,528,098.66","493,122.00","252.53","United States","NYSE","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES","Health Care","Equity","123,788,622.96","0.25","123,788,622.96","861,318.00","143.72","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","122,446,231.90","0.25","122,446,231.90","1,201,042.00","101.95","United States","NYSE","USD","1.00","USD","-"
"T","AT&T","Communication","Equity","122,402,386.70","0.25","122,402,386.70","4,696,945.00","26.06","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB","Financials","Equity","121,513,606.50","0.25","121,513,606.50","1,132,994.00","107.25","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","119,485,270.62","0.24","119,485,270.62","367,998.00","324.69","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY","Utilities","Equity","119,094,339.00","0.24","119,094,339.00","1,446,900.00","82.31","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","118,443,911.81","0.24","118,443,911.81","208,789.00","567.29","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC","Industrials","Equity","117,022,352.40","0.24","117,022,352.40","411,471.00","284.40","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","116,155,384.15","0.24","116,155,384.15","845,689.00","137.35","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","115,819,133.04","0.24","115,819,133.04","171,396.00","675.74","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER","Real Estate","Equity","115,488,907.38","0.24","115,488,907.38","490,149.00","235.62","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","114,611,692.80","0.23","114,611,692.80","269,440.00","425.37","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK","Financials","Equity","114,360,846.60","0.23","114,360,846.60","105,924.00","1,079.65","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","110,894,733.45","0.23","110,894,733.45","526,941.00","210.45","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER","Health Care","Equity","109,459,045.08","0.22","109,459,045.08","3,948,739.00","27.72","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","104,988,920.40","0.21","104,988,920.40","234,780.00","447.18","United States","NASDAQ","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES","Industrials","Equity","97,359,538.14","0.20","97,359,538.14","1,358,442.00","71.67","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX","Consumer Discretionary","Equity","96,646,124.22","0.20","96,646,124.22","766,911.00","126.02","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW","Information Technology","Equity","94,360,299.76","0.19","94,360,299.76","711,992.00","132.53","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","93,951,500.04","0.19","93,951,500.04","740,884.00","126.81","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS","Consumer Discretionary","Equity","93,360,951.68","0.19","93,360,951.68","536,804.00","173.92","United States","NASDAQ","USD","1.00","USD","-"
"GLW","CORNING","Information Technology","Equity","91,355,763.20","0.19","91,355,763.20","549,013.00","166.40","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS","Health Care","Equity","90,917,430.72","0.19","90,917,430.72","176,388.00","515.44","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL","Health Care","Equity","90,276,370.80","0.18","90,276,370.80","244,552.00","369.15","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","90,144,278.08","0.18","90,144,278.08","1,416,472.00","63.64","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","90,136,409.20","0.18","90,136,409.20","432,724.00","208.30","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT","Real Estate","Equity","89,087,023.50","0.18","89,087,023.50","656,258.00","135.75","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE","Financials","Equity","88,205,303.16","0.18","88,205,303.16","405,318.00","217.62","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER","Health Care","Equity","87,740,775.58","0.18","87,740,775.58","438,397.00","200.14","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL","Financials","Equity","84,312,602.35","0.17","84,312,602.35","205,285.00","410.71","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH","Health Care","Equity","84,264,628.12","0.17","84,264,628.12","890,182.00","94.66","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN","Industrials","Equity","83,231,595.93","0.17","83,231,595.93","87,591.00","950.23","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","82,569,531.00","0.17","82,569,531.00","244,108.00","338.25","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","80,955,946.32","0.17","80,955,946.32","890,017.00","90.96","United States","NYSE","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM","Energy","Equity","80,884,935.63","0.16","80,884,935.63","204,291.00","395.93","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","80,209,446.48","0.16","80,209,446.48","205,444.00","390.42","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","80,021,214.72","0.16","80,021,214.72","1,160,064.00","68.98","United States","NYSE","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","78,353,721.30","0.16","78,353,721.30","426,067.00","183.90","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","78,158,930.62","0.16","78,158,930.62","791,563.00","98.74","United States","NASDAQ","USD","1.00","USD","-"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","77,435,268.96","0.16","77,435,268.96","476,056.00","162.66","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","76,566,325.94","0.16","76,566,325.94","389,017.00","196.82","United States","NYSE","USD","1.00","USD","-"
"SNOW","SNOWFLAKE","Information Technology","Equity","76,487,543.08","0.16","76,487,543.08","232,492.00","328.99","United States","NYSE","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","75,050,879.89","0.15","75,050,879.89","85,139.00","881.51","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","74,393,863.20","0.15","74,393,863.20","277,320.00","268.26","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","73,869,903.18","0.15","73,869,903.18","140,922.00","524.19","United States","NYSE","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","72,230,480.19","0.15","72,230,480.19","278,377.00","259.47","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT","Real Estate","Equity","70,771,466.28","0.14","70,771,466.28","68,199.00","1,037.72","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","70,745,218.17","0.14","70,745,218.17","280,479.00","252.23","United States","NASDAQ","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","70,615,791.63","0.14","70,615,791.63","993,609.00","71.07","United States","NYSE","USD","1.00","USD","-"
